HomeTeam,AwayTeam,Season,elo_diff_cuted,diff_with_avg_a_m_cuted,diff_with_avg_h_m_cuted,diff_with_avg_a_d_cuted,diff_with_avg_h_d_cuted,diff_with_avg_a_f_cuted,diff_with_avg_h_f_cuted,FTR,FTHG,HTHG,HS,HF,FTAG,HTAG,AS,AST,AF,AC,bkm_prediction,B365H,B365D,B365A,Elo_Home,Elo_Away,elo_diff,sum_lose_last_5_Home,sum_win_last_5_Away,sum_lose_last_5_Away,sum_win_last_3_Away,sum_lose_last_3_Away,shots_total_h_d,tackles_h_d,aerials_won_h_d,clearance_offine_h_d,pen_miss_h_d,pen_won_h_d,score_joueur_avg_of_week_h_d,fouls_commited_h_g,tackles_h_g,dispossesed_h_g,saves_h_g,punches_h_g,savesInsideBox_h_g,duelsWon_h_g,dribbleSucc_h_g,dribbledPast_h_g,good_high_claim_h_g,rating_h_g,minutes_played_h_g,score_joueur_h_g,score_joueur_avg_of_week_h_g,shots_total_h_f,shots_on_goal_h_f,tackles_h_f,clearances_h_f,dispossesed_h_f,duelsWon_h_f,aerials_won_h_f,redcards_h_f,pen_score_h_f,pen_miss_h_f,pen_won_h_f,hit_woodwork_h_f,score_joueur_h_f,score_joueur_avg_of_week_h_f,diff_with_avg_h_f,shots_total_h_m,fouls_drawn_h_m,tackles_h_m,clearances_h_m,dispossesed_h_m,duelsWon_h_m,dribbleAttempts_h_m,dribbledPast_h_m,error_lead_to_goal_h_m,pen_miss_h_m,pen_committed_h_m,rating_h_m,shots_on_goal_a_d,offsides_a_d,tackles_a_d,total_crosses_a_d,acc_crosses_a_d,interceptions_a_d,clearances_a_d,dispossesed_a_d,duelsTotal_a_d,duelsWon_a_d,aerials_won_a_d,dribbleSucc_a_d,yellowcards_a_d,lastman_tackle_a_d,pen_miss_a_d,pen_won_a_d,passes_a_d,passes_acc_a_d,keyPasses_a_d,minutes_played_a_d,score_joueur_a_d,score_joueur_avg_of_week_a_d,diff_with_avg_a_d,tackles_a_g,interceptions_a_g,clearances_a_g,saves_a_g,savesInsideBox_a_g,duelsTotal_a_g,duelsWon_a_g,big_chance_created_a_g,redcards_a_g,passes_a_g,passes_acc_a_g,score_joueur_avg_of_week_a_g,shots_total_a_f,shots_on_goal_a_f,fouls_drawn_a_f,fouls_commited_a_f,tackles_a_f,blocks_a_f,total_crosses_a_f,acc_crosses_a_f,interceptions_a_f,dispossesed_a_f,aerials_won_a_f,dribbleAttempts_a_f,dribbleSucc_a_f,big_chance_created_a_f,big_chance_missed_a_f,clearance_offine_a_f,pen_score_a_f,hit_woodwork_a_f,passes_a_f,passes_acc_a_f,keyPasses_a_f,minutes_played_a_f,score_joueur_a_f,score_joueur_avg_of_week_a_f,diff_with_avg_a_f,shots_on_goal_a_m,offsides_a_m,fouls_drawn_a_m,total_crosses_a_m,acc_crosses_a_m,interceptions_a_m,dispossesed_a_m,aerials_won_a_m,dribbledPast_a_m,big_chance_created_a_m,pen_score_a_m,pen_committed_a_m,pen_won_a_m,hit_woodwork_a_m,passes_a_m,passes_acc_a_m,minutes_played_a_m,score_joueur_a_m,score_joueur_avg_of_week_a_m,diff_with_avg_a_m,num_of_day
Lille,Paris SG,2015_2016,]-247 to -190],"(-0.345, 0.395]","(-0.282, 0.464]","(-0.0904, 0.27]","(-1.038, -0.679]","(0.379, 0.511]","(-0.157, -0.0109]",2,1.6666666666666667,0.6666666666666666,11.0,14.0,2.333333333333333,1.6666666666666667,13.666666666666666,6.333333333333333,12.0,5.333333333333333,2,6.5,3.6,1.57,1653.33581543,1872.06738281,-218.7315673800001,0.0,3.0,0.0,3.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,4.723214285714286,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,6.3,90.0,1.6,1.995238095238096,2.0,1.0,4.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8223728813559322,-0.0223728813559321,4.0,13.0,14.0,1.0,5.0,41.0,17.0,6.0,0.0,0.0,0.0,4.785714285714286,0.0,1.0,6.0,6.0,1.0,17.0,15.0,4.0,37.0,19.0,8.0,1.0,1.0,0.0,0.0,0.0,138.0,123.0,0.0,360.0,4.875,4.723214285714286,0.1517857142857142,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,16.0,7.0,1.995238095238096,4.0,3.0,6.0,2.0,3.0,0.0,6.0,2.0,1.0,6.0,5.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,81.0,57.0,1.0,224.0,1.2933333333333334,0.8223728813559322,0.4709604519774011,0.0,0.0,7.0,2.0,1.0,7.0,6.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,177.0,158.0,254.0,5.808333333333334,5.98859649122807,-0.1802631578947372,4
Bastia,Rennes,2015_2016,]-22 to 34],"(-2.565, -1.825]","(-1.774, -1.028]","(-0.812, -0.451]","(-1.038, -0.679]","(0.379, 0.511]","(-0.0109, 0.135]",1,1.0,0.3333333333333333,8.0,14.666666666666666,0.3333333333333333,0.0,7.666666666666667,2.333333333333333,13.666666666666666,3.333333333333333,1,2.6,3.1,2.8,1583.17248535,1581.68273926,1.489746089999926,3.0,4.0,0.0,3.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,4.723214285714286,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,6.7,90.0,1.4500000000000002,1.995238095238096,5.0,3.0,0.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8200000000000001,0.8223728813559322,-0.0023728813559321,4.0,7.0,6.0,1.0,6.0,20.0,6.0,2.0,0.0,0.0,0.0,5.43,0.0,1.0,4.0,6.0,3.0,3.0,13.0,5.0,36.0,21.0,13.0,1.0,0.0,0.0,0.0,0.0,211.0,156.0,2.0,434.0,4.180000000000001,4.723214285714286,-0.5432142857142853,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,17.0,1.995238095238096,1.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,15.0,0.0,90.0,1.3200000000000005,0.8223728813559322,0.497627118644068,2.0,2.0,10.0,5.0,1.0,2.0,3.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,138.0,107.0,376.0,3.542857142857143,5.988596491228071,-2.445739348370928,5
Montpellier,Angers,2015_2016,]90 to 146],"(-1.825, -1.085]","(1.21, 1.956]","(-1.173, -0.812]","(1.121, 1.481]","(0.248, 0.379]","(-0.0109, 0.135]",2,0.6666666666666666,0.6666666666666666,10.666666666666666,12.333333333333334,2.0,1.0,16.0,6.0,15.0,9.0,1,1.83,3.4,4.75,1625.06140137,1510.62536621,114.43603516000007,4.0,2.0,1.0,1.0,0.0,2.0,9.0,17.0,0.0,0.0,0.0,4.723214285714286,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,90.0,3.3500000000000005,1.995238095238096,6.0,2.0,1.0,2.0,10.0,19.0,4.0,0.0,0.0,0.0,0.0,1.0,0.952,0.8223728813559322,0.1296271186440677,3.0,3.0,5.0,2.0,3.0,12.0,8.0,1.0,0.0,0.0,0.0,6.8,1.0,0.0,8.0,2.0,2.0,14.0,18.0,0.0,32.0,15.0,6.0,0.0,1.0,0.0,0.0,0.0,98.0,75.0,1.0,360.0,3.7125,4.723214285714286,-1.0107142857142857,0.0,0.0,2.0,4.0,2.0,2.0,1.0,0.0,0.0,28.0,11.0,1.995238095238096,4.0,4.0,3.0,3.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,18.0,3.0,122.0,1.2000000000000002,0.8223728813559322,0.3776271186440678,1.0,0.0,5.0,10.0,4.0,8.0,9.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,154.0,110.0,418.0,4.733333333333333,5.98859649122807,-1.255263157894737,5
Nice,Monaco,2015_2016,]-247 to -190],"(0.395, 1.135]","(0.464, 1.21]","(0.27, 0.631]","(-1.758, -1.398]","(0.116, 0.248]","(0.135, 0.281]",2,1.3333333333333333,1.0,17.0,11.333333333333334,1.6666666666666667,1.3333333333333333,14.666666666666666,6.0,11.333333333333334,6.333333333333333,2,4.0,3.1,2.05,1572.31860352,1778.68994141,-206.3713378900001,1.0,1.0,2.0,0.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,4.723214285714286,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,6.800000000000001,90.0,1.2,1.995238095238096,4.0,2.0,2.0,1.0,8.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,1.08,0.8223728813559322,0.2576271186440678,1.0,8.0,13.0,2.0,4.0,30.0,2.0,7.0,0.0,0.0,0.0,6.74,1.0,0.0,7.0,9.0,5.0,10.0,10.0,1.0,40.0,24.0,9.0,2.0,2.0,0.0,0.0,0.0,177.0,146.0,2.0,360.0,5.1375,4.723214285714286,0.4142857142857146,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,7.0,1.995238095238096,5.0,3.0,3.0,1.0,1.0,0.0,5.0,2.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,51.0,47.0,6.0,137.0,1.0133333333333334,0.8223728813559322,0.1909604519774011,2.0,0.0,9.0,22.0,5.0,12.0,3.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,220.0,187.0,403.0,7.1000000000000005,5.98859649122807,1.111403508771929,5
Troyes,Ajaccio GFCO,2015_2016,]34 to 90],"(1.875, 2.615]","(-1.028, -0.282]","(-0.0904, 0.27]","(1.121, 1.481]","(-0.278, -0.147]","(-0.449, -0.303]",0,1.0,0.6666666666666666,11.0,14.0,0.0,0.0,6.0,1.0,8.0,3.0,1,2.05,3.2,3.75,1572.41186523,1490.35058594,82.06127929000013,3.0,0.0,5.0,0.0,3.0,2.0,4.0,7.0,0.0,0.0,0.0,4.723214285714286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.8,1.995238095238096,2.0,1.0,1.0,0.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.44,0.8223728813559322,-0.3823728813559322,7.0,4.0,10.0,3.0,0.0,27.0,10.0,0.0,0.0,0.0,0.0,6.971428571428572,0.0,0.0,7.0,13.0,2.0,8.0,18.0,5.0,28.0,15.0,5.0,0.0,2.0,0.0,0.0,0.0,147.0,125.0,3.0,360.0,4.675,4.723214285714286,-0.0482142857142855,0.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,38.0,19.0,1.995238095238096,3.0,0.0,6.0,3.0,2.0,0.0,4.0,0.0,3.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,62.0,1.0,270.0,0.584,0.8223728813559322,-0.2383728813559321,1.0,0.0,2.0,5.0,0.0,9.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,137.0,119.0,270.0,8.55,5.98859649122807,2.5614035087719302,5
Marseille,Caen,2015_2016,]90 to 146],"(-3.317, -2.565]","(-1.028, -0.282]","(-2.26, -1.894]","(2.2, 2.56]","(0.116, 0.248]","(0.135, 0.281]",2,2.6666666666666665,0.6666666666666666,14.0,11.0,0.6666666666666666,0.6666666666666666,10.333333333333334,3.6666666666666665,10.666666666666666,5.666666666666667,1,1.57,4.0,6.0,1709.75280762,1585.12731934,124.62548828000013,2.0,3.0,2.0,1.0,2.0,3.0,12.0,14.0,0.0,0.0,0.0,4.723214285714286,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,6.6,90.0,2.5,1.995238095238096,3.0,2.0,0.0,1.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.96,0.8223728813559322,0.1376271186440678,9.0,5.0,13.0,4.0,12.0,35.0,17.0,3.0,0.0,0.0,0.0,5.9625,0.0,0.0,21.0,2.0,1.0,6.0,17.0,2.0,49.0,31.0,7.0,2.0,0.0,0.0,0.0,0.0,71.0,45.0,2.0,381.0,2.66,4.723214285714286,-2.063214285714286,0.0,0.0,2.0,5.0,3.0,1.0,0.0,0.0,0.0,32.0,7.0,1.995238095238096,5.0,3.0,4.0,3.0,2.0,0.0,3.0,0.0,0.0,2.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,17.0,0.0,118.0,1.0,0.8223728813559322,0.1776271186440678,1.0,0.0,1.0,7.0,1.0,6.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,99.0,64.0,401.0,2.6833333333333336,5.98859649122807,-3.3052631578947373,5
Nantes,Guingamp,2015_2016,]-78 to -22],"(-1.085, -0.345]","(1.21, 1.956]","(-0.451, -0.0904]","(0.761, 1.121]","(-0.147, -0.0151]","(-0.303, -0.157]",1,0.6666666666666666,0.6666666666666666,10.333333333333334,15.333333333333334,1.0,0.0,8.0,2.6666666666666665,9.666666666666666,2.6666666666666665,1,2.2,3.1,3.6,1552.44470215,1577.37988281,-24.93518066000001,3.0,3.0,2.0,1.0,2.0,0.0,12.0,10.0,0.0,0.0,0.0,4.723214285714286,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,7.2,90.0,2.7,1.995238095238096,3.0,1.0,2.0,1.0,9.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.5800000000000001,0.8223728813559322,-0.2423728813559322,3.0,9.0,10.0,6.0,9.0,28.0,7.0,7.0,0.0,0.0,0.0,7.06,1.0,0.0,11.0,4.0,1.0,13.0,13.0,0.0,32.0,17.0,4.0,1.0,1.0,0.0,0.0,0.0,151.0,117.0,0.0,360.0,4.6,4.723214285714286,-0.1232142857142857,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,18.0,9.0,1.995238095238096,4.0,1.0,6.0,3.0,6.0,0.0,4.0,2.0,5.0,6.0,4.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,62.0,51.0,2.0,195.0,0.74,0.8223728813559322,-0.0823728813559321,2.0,0.0,5.0,8.0,2.0,10.0,7.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,137.0,111.0,345.0,5.510000000000001,5.988596491228071,-0.4785964912280704,5
Lyon,Lorient,2015_2016,]146 to 202],"(-1.085, -0.345]","(4.194, 4.94]","(-1.173, -0.812]","(0.761, 1.121]","(-0.0151, 0.116]","(0.281, 0.428]",0,1.6666666666666667,0.6666666666666666,15.333333333333334,13.333333333333334,3.333333333333333,1.6666666666666667,10.666666666666666,6.0,10.333333333333334,5.0,1,1.57,4.0,6.0,1748.41870117,1580.78491211,167.63378906000003,1.0,2.0,2.0,0.0,2.0,2.0,5.0,5.0,0.0,0.0,0.0,4.723214285714286,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,7.2,90.0,2.35,1.995238095238096,7.0,3.0,1.0,0.0,3.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,1.18,0.8223728813559322,0.3576271186440677,9.0,3.0,6.0,0.0,3.0,25.0,15.0,7.0,0.0,0.0,0.0,7.266666666666667,0.0,0.0,6.0,1.0,1.0,19.0,12.0,1.0,27.0,13.0,1.0,2.0,2.0,0.0,0.0,0.0,114.0,93.0,1.0,360.0,3.8375,4.723214285714286,-0.8857142857142855,0.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,31.0,12.0,1.995238095238096,2.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,33.0,28.0,0.0,136.0,0.8400000000000001,0.8223728813559322,0.0176271186440678,3.0,0.0,5.0,5.0,2.0,9.0,1.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,190.0,160.0,404.0,5.228571428571429,5.988596491228071,-0.7600250626566422,6
Bordeaux,Reims,2015_2016,]90 to 146],"(-1.085, -0.345]","(3.448, 4.194]","(1.352, 1.713]","(-1.038, -0.679]","(-0.543, -0.41]","(-0.303, -0.157]",2,1.6666666666666667,1.0,18.0,9.666666666666666,1.3333333333333333,0.6666666666666666,7.333333333333333,3.333333333333333,15.0,6.0,1,1.67,3.75,5.5,1658.6574707,1541.99230957,116.66516112999987,0.0,2.0,1.0,2.0,1.0,1.0,9.0,5.0,0.0,0.0,0.0,4.723214285714286,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,6.3,90.0,2.55,1.995238095238096,2.0,1.0,2.0,0.0,4.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.56,0.8223728813559322,-0.2623728813559322,6.0,7.0,12.0,2.0,6.0,35.0,7.0,6.0,0.0,0.0,0.0,5.2,0.0,0.0,6.0,5.0,0.0,15.0,20.0,2.0,42.0,24.0,12.0,3.0,1.0,0.0,0.0,0.0,198.0,163.0,1.0,360.0,6.15,4.723214285714286,1.4267857142857143,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,30.0,18.0,1.995238095238096,1.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,17.0,2.0,117.0,0.36,0.8223728813559322,-0.4623728813559322,6.0,1.0,6.0,5.0,2.0,10.0,9.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,180.0,139.0,423.0,5.516666666666667,5.98859649122807,-0.471929824561404,6
Toulouse,St Etienne,2015_2016,]-190 to -134],"(-1.085, -0.345]","(-0.282, 0.464]","(1.352, 1.713]","(-0.679, -0.319]","(0.116, 0.248]","(-0.303, -0.157]",1,2.0,0.6666666666666666,12.0,12.0,1.0,0.6666666666666666,9.666666666666666,3.333333333333333,18.666666666666668,3.333333333333333,2,3.1,3.1,2.4,1542.6854248,1720.40209961,-177.7166748100001,2.0,4.0,0.0,2.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,4.723214285714286,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.6,90.0,1.4,1.995238095238096,5.0,2.0,2.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.8223728813559322,-0.2223728813559321,3.0,8.0,14.0,9.0,7.0,37.0,8.0,3.0,0.0,0.0,0.0,6.983333333333333,1.0,1.0,5.0,1.0,1.0,8.0,8.0,1.0,25.0,11.0,4.0,1.0,1.0,0.0,0.0,0.0,159.0,140.0,4.0,270.0,6.1000000000000005,4.723214285714286,1.3767857142857147,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,26.0,14.0,1.995238095238096,5.0,1.0,5.0,3.0,3.0,0.0,9.0,3.0,2.0,11.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,89.0,71.0,5.0,278.0,0.95,0.8223728813559322,0.1276271186440677,0.0,0.0,4.0,6.0,3.0,7.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,183.0,152.0,352.0,5.425000000000001,5.98859649122807,-0.5635964912280708,6
