Div,Date,HomeTeam,AwayTeam,Season,FTR,AST,AC,bkm_prediction,PSCH,PSCA,Elo_Home,Elo_Away,elo_diff,elo_diff_cuted
F1,2012-08-10,Montpellier,Toulouse,2012_2013,0,3.0,5.0,0,2.15,4.16,1742.59350586,1630.8840332,111.70947266000007,10
F1,2012-08-11,Nancy,Brest,2012_2013,1,1.0,3.0,0,1.89,5.19,1607.2956543,1576.31640625,30.979248050000024,8
F1,2012-08-11,St Etienne,Lille,2012_2013,2,4.0,1.0,2,2.99,2.61,1629.29736328,1776.37695312,-147.07958984000015,5
F1,2012-08-11,Nice,Ajaccio,2012_2013,2,2.0,2.0,0,2.19,4.01,1588.31896973,1551.75512695,36.56384277999996,9
F1,2012-08-11,Sochaux,Bastia,2012_2013,2,7.0,5.0,0,3.05,2.76,1581.40600586,1527.26831055,54.137695310000026,9
F1,2012-08-11,Troyes,Valenciennes,2012_2013,2,1.0,2.0,0,2.5,3.29,1498.26794434,1591.60437012,-93.33642578000013,6
F1,2012-08-11,Paris SG,Lorient,2012_2013,0,6.0,2.0,0,1.37,10.5,1755.98303223,1565.44042969,190.54260253999996,11
F1,2012-08-11,Rennes,Lyon,2012_2013,2,2.0,2.0,0,2.06,4.23,1643.78344727,1716.4152832,-72.63183593000008,7
F1,2012-08-12,Reims,Marseille,2012_2013,2,8.0,7.0,2,3.6,2.25,1513.54931641,1683.63366699,-170.08435057999986,5
F1,2012-08-17,Lille,Nancy,2012_2013,0,1.0,2.0,0,1.51,8.42,1782.77270508,1612.69580078,170.07690430000002,11
F1,2012-08-18,Lyon,Troyes,2012_2013,1,2.0,3.0,0,1.45,9.05,1724.6796875,1490.40515137,234.2745361299999,12
F1,2012-08-18,Valenciennes,Nice,2012_2013,0,4.0,6.0,0,1.79,5.86,1599.46716309,1576.94396973,22.52319336000005,8
F1,2012-08-18,Toulouse,St Etienne,2012_2013,1,5.0,4.0,0,2.35,3.48,1635.98034668,1622.90148926,13.07885741999985,8
F1,2012-08-18,Bastia,Reims,2012_2013,1,2.0,2.0,0,1.7,6.35,1538.63330078,1507.75463867,30.878662109999823,8
F1,2012-08-18,Lorient,Montpellier,2012_2013,1,4.0,4.0,0,3.02,2.65,1572.04614258,1737.49731445,-165.45117187000005,5
F1,2012-08-19,Bordeaux,Rennes,2012_2013,1,3.0,5.0,0,2.29,3.52,1713.91931152,1635.5189209,78.40039062000005,9
F1,2012-08-19,Ajaccio,Paris SG,2012_2013,0,3.0,4.0,2,5.94,1.69,1563.13012695,1749.37731934,-186.24719239,5
F1,2012-08-19,Marseille,Sochaux,2012_2013,1,2.0,1.0,0,1.43,9.94,1689.42834473,1570.0411377,119.3872070299999,10
F1,2012-08-25,Nice,Lille,2012_2013,0,4.0,1.0,2,3.51,2.31,1577.49169922,1767.99536133,-190.50366210999982,5
